district,data,kind,name,year
Байкальский заповедник,12,Рыбы,Всего,2015
Байкальский заповедник,2,Земноводные,Всего,2015
Байкальский заповедник,2,Пресмыкающиеся,Всего,2015
Байкальский заповедник,253,Птицы,Всего,2015
Байкальский заповедник,51,Млекопитающие,Всего,2015
Байкало-Ленский заповедник,11,Рыбы,Всего,2015
Байкало-Ленский заповедник,3,Земноводные,Всего,2015
Байкало-Ленский заповедник,4,Пресмыкающиеся,Всего,2015
Байкало-Ленский заповедник,267,Птицы,Всего,2015
Байкало-Ленский заповедник,54,Млекопитающие,Всего,2015
Баргузинский заповедник,46,Рыбы,Всего,2015
Баргузинский заповедник,3,Земноводные,Всего,2015
Баргузинский заповедник,6,Пресмыкающиеся,Всего,2015
Баргузинский заповедник,286,Птицы,Всего,2015
Баргузинский заповедник,44,Млекопитающие,Всего,2015
Джергинский заповедник,8,Рыбы,Всего,2015
Джергинский заповедник,3,Земноводные,Всего,2015
Джергинский заповедник,5,Пресмыкающиеся,Всего,2015
Джергинский заповедник,146,Птицы,Всего,2015
Джергинский заповедник,43,Млекопитающие,Всего,2015
Сохондинский заповедник,8,Рыбы,Всего,2015
Сохондинский заповедник,3,Земноводные,Всего,2015
Сохондинский заповедник,4,Пресмыкающиеся,Всего,2015
Сохондинский заповедник,203,Птицы,Всего,2015
Сохондинский заповедник,59,Млекопитающие,Всего,2015
Забайкальский национальный парк,50,Рыбы,Всего,2015
Забайкальский национальный парк,3,Земноводные,Всего,2015
Забайкальский национальный парк,3,Пресмыкающиеся,Всего,2015
Забайкальский национальный парк,249,Птицы,Всего,2015
Забайкальский национальный парк,50,Млекопитающие,Всего,2015
Прибайкальский национальный парк,25,Рыбы,Всего,2015
Прибайкальский национальный парк,4,Земноводные,Всего,2015
Прибайкальский национальный парк,5,Пресмыкающиеся,Всего,2015
Прибайкальский национальный парк,303,Птицы,Всего,2015
Прибайкальский национальный парк,64,Млекопитающие,Всего,2015
Тункинский национальный парк,18,Рыбы,Всего,2015
Тункинский национальный парк,4,Земноводные,Всего,2015
Тункинский национальный парк,5,Пресмыкающиеся,Всего,2015
Тункинский национальный парк,237,Птицы,Всего,2015
Тункинский национальный парк,54,Млекопитающие,Всего,2015
"Национальный парк ""Чикой""",0,Рыбы,Всего,2015
"Национальный парк ""Чикой""",0,Земноводные,Всего,2015
"Национальный парк ""Чикой""",0,Пресмыкающиеся,Всего,2015
"Национальный парк ""Чикой""",0,Птицы,Всего,2015
"Национальный парк ""Чикой""",0,Млекопитающие,Всего,2015
Байкальский заповедник,12,Рыбы,Всего,2016
Байкальский заповедник,2,Земноводные,Всего,2016
Байкальский заповедник,2,Пресмыкающиеся,Всего,2016
Байкальский заповедник,253,Птицы,Всего,2016
Байкальский заповедник,51,Млекопитающие,Всего,2016
Байкало-Ленский заповедник,16,Рыбы,Всего,2016
Байкало-Ленский заповедник,3,Земноводные,Всего,2016
Байкало-Ленский заповедник,4,Пресмыкающиеся,Всего,2016
Байкало-Ленский заповедник,276,Птицы,Всего,2016
Байкало-Ленский заповедник,52,Млекопитающие,Всего,2016
Баргузинский заповедник,46,Рыбы,Всего,2016
Баргузинский заповедник,3,Земноводные,Всего,2016
Баргузинский заповедник,6,Пресмыкающиеся,Всего,2016
Баргузинский заповедник,286,Птицы,Всего,2016
Баргузинский заповедник,44,Млекопитающие,Всего,2016
Джергинский заповедник,8,Рыбы,Всего,2016
Джергинский заповедник,3,Земноводные,Всего,2016
Джергинский заповедник,5,Пресмыкающиеся,Всего,2016
Джергинский заповедник,146,Птицы,Всего,2016
Джергинский заповедник,43,Млекопитающие,Всего,2016
Сохондинский заповедник,8,Рыбы,Всего,2016
Сохондинский заповедник,3,Земноводные,Всего,2016
Сохондинский заповедник,4,Пресмыкающиеся,Всего,2016
Сохондинский заповедник,203,Птицы,Всего,2016
Сохондинский заповедник,59,Млекопитающие,Всего,2016
Забайкальский национальный парк,50,Рыбы,Всего,2016
Забайкальский национальный парк,3,Земноводные,Всего,2016
Забайкальский национальный парк,3,Пресмыкающиеся,Всего,2016
Забайкальский национальный парк,249,Птицы,Всего,2016
Забайкальский национальный парк,50,Млекопитающие,Всего,2016
Прибайкальский национальный парк,25,Рыбы,Всего,2016
Прибайкальский национальный парк,4,Земноводные,Всего,2016
Прибайкальский национальный парк,5,Пресмыкающиеся,Всего,2016
Прибайкальский национальный парк,303,Птицы,Всего,2016
Прибайкальский национальный парк,64,Млекопитающие,Всего,2016
Тункинский национальный парк,18,Рыбы,Всего,2016
Тункинский национальный парк,4,Земноводные,Всего,2016
Тункинский национальный парк,5,Пресмыкающиеся,Всего,2016
Тункинский национальный парк,237,Птицы,Всего,2016
Тункинский национальный парк,56,Млекопитающие,Всего,2016
"Национальный парк ""Чикой""",0,Рыбы,Всего,2016
"Национальный парк ""Чикой""",0,Земноводные,Всего,2016
"Национальный парк ""Чикой""",0,Пресмыкающиеся,Всего,2016
"Национальный парк ""Чикой""",0,Птицы,Всего,2016
"Национальный парк ""Чикой""",0,Млекопитающие,Всего,2016
Байкальский заповедник,12,Рыбы,Всего,2017
Байкальский заповедник,2,Земноводные,Всего,2017
Байкальский заповедник,2,Пресмыкающиеся,Всего,2017
Байкальский заповедник,287,Птицы,Всего,2017
Байкальский заповедник,52,Млекопитающие,Всего,2017
Байкало-Ленский заповедник,16,Рыбы,Всего,2017
Байкало-Ленский заповедник,3,Земноводные,Всего,2017
Байкало-Ленский заповедник,4,Пресмыкающиеся,Всего,2017
Байкало-Ленский заповедник,276,Птицы,Всего,2017
Байкало-Ленский заповедник,52,Млекопитающие,Всего,2017
Баргузинский заповедник,46,Рыбы,Всего,2017
Баргузинский заповедник,3,Земноводные,Всего,2017
Баргузинский заповедник,6,Пресмыкающиеся,Всего,2017
Баргузинский заповедник,286,Птицы,Всего,2017
Баргузинский заповедник,44,Млекопитающие,Всего,2017
Джергинский заповедник,8,Рыбы,Всего,2017
